asymmetry,compactness,rgb_mean_value,rgb_standard_deviation,rgb_skewness,rgb_kurtosis,rgb_peak_val,blue_white_veil
0.5816,,"(186.0161727117411, 129.73910680267363, 113.28127357930862)","(23.39331968356066, 30.272412058362875, 28.657807435586044)","(1.7911358843809624, 1.2749179760507205, 1.432650583444071)","(2.127292105738708, 0.15896519539809928, 0.515335360718991)","(175, 120, 103)",
0.6002,,"(175.69497215360752, 138.33863550785463, 119.17627571625053)","(14.810172539365942, 22.465852860490273, 21.90900118827254)","(2.1976938815521185, 1.3514734472283527, 1.4474357638021453)","(3.658544641640444, 0.34122753439052067, 0.7380256974488004)","(175, 127, 111)",
0.7166,,"(170.63482597027905, 64.52487585216295, 49.85820900730323)","(14.321711695966389, 17.5308578418728, 15.783368579866588)","(2.2533296872743516, 1.9396445405470097, 2.178148258897973)","(4.0751060474447165, 2.577734379321069, 3.8341888429853572)","(165, 49, 48)",
0.5847,,"(148.89129601349123, 113.88722577737644, 96.27793081873097)","(13.596252424939403, 18.150882231570364, 18.427375111259117)","(2.7969964283125988, 2.2307381717932038, 2.319514977279335)","(7.414968651167781, 4.168474429248031, 4.721745509622085)","(143, 106, 88)",
0.401,,"(95.75881629977084, 75.72629479047919, 71.78191036849057)","(23.163548619801592, 21.60590018655676, 18.981024243570566)","(1.0103128205484515, 1.2065132118558013, 1.6349675723393136)","(-0.6587833752526318, -0.16656812416361166, 1.4982971224694994)","(128, 50, 53)",1
0.8607,,"(177.0819238749682, 103.62297469188343, 85.73514592731954)","(43.922099684027216, 37.92830669181809, 31.72732056007231)","(1.6246943195877157, 0.7413618438825471, 1.2284665451259564)","(2.0943010513584577, -0.41551282915783583, 0.807329002416687)","(219, 127, 112)",
,,,,,,,
0.5704,,"(125.35223432337261, 85.90205784935642, 78.90498747136553)","(28.646163130067194, 33.3944473564859, 34.09283429392662)","(1.0816944463514704, 1.0849598866947447, 1.3412764786176423)","(-0.4817411311863533, -0.012716458837036537, 0.922789694794766)","(128, 68, 48)",1
0.6325,,"(142.71097824888102, 101.76522223602524, 108.20872607697402)","(24.57677837566374, 38.98205620352531, 44.83961768749949)","(1.4849639342014311, 0.7391862223854202, 0.4647933885694423)","(0.7620877310374077, -0.973595795271962, -1.1425128620913312)","(128, 66, 60)",1
0.608,,"(140.90800328133992, 68.7634083493358, 58.86579175268707)","(37.583292933855205, 29.960629359309657, 28.803437956903508)","(1.5269118547483085, 2.0489234174663196, 2.3035251962232324)","(1.6476534399066427, 3.179614542195364, 4.688060245116221)","(127, 63, 48)",
0.9558,,"(174.26733048415372, 118.59471397405468, 103.89463559796604)","(18.22747313764306, 30.72875018777437, 33.59843740420558)","(2.126032451249573, 0.9982008850651273, 0.6697988979706845)","(3.531529113263794, -0.43170902951704315, -1.0608390813051998)","(169, 100, 122)",
0.7915,,"(151.07006565201073, 92.8127526629828, 98.05564371441915)","(7.895437880501238, 22.036706559543557, 21.935766251604722)","(3.4611934289993145, 2.464338271470462, 2.316955083189308)","(10.956925250034567, 5.270209484179162, 4.1235504114104655)","(147, 93, 97)",1
0.8987,,"(106.4973607455031, 60.80461187417677, 42.84235877625906)","(12.209980810924367, 9.87081687272805, 9.122234775303278)","(2.756814108210216, 3.0524859991211777, 3.1400303924623576)","(6.70220804887567, 8.341884294074577, 8.930739689442788)","(100, 57, 37)",
,,,,,,,
0.0976,,"(199.86405682195618, 133.3867009546375, 118.32006316984189)","(18.943863208050782, 18.80452121861613, 18.506378559235806)","(1.5857384059545354, 1.6986094685648707, 1.6589150057890696)","(1.1385623435629055, 1.7160447318936463, 1.4875717776292632)","(207, 143, 127)",
0.634,,"(194.2321970947669, 168.6010089014635, 122.07755553851894)","(13.547055791659341, 20.478336761754726, 31.996812388107717)","(1.910763278433576, 1.3706600793186468, 0.5191032072880041)","(2.1301159613773644, 0.2722546568584687, -1.412482423240685)","(193, 170, 83)",
0.8189,,"(186.31071600408632, 116.5879754678308, 120.56514118330415)","(19.510049139591054, 25.255553923026113, 27.048341207695152)","(1.8072887269549103, 1.6865467416091178, 1.5132504987353348)","(2.421402682034649, 2.3061366517312685, 1.5156549740162166)","(180, 101, 107)",
0.9171,,"(105.94239692871633, 85.09057639378443, 80.00812076063085)","(25.16768559462184, 28.706492964642226, 35.512825145153094)","(1.3431711480479644, 2.12412748557605, 1.593651360620293)","(0.494165856254821, 4.135889797401337, 1.6629090305357552)","(92, 67, 59)",1
0.7213,,"(127.30556786809757, 80.70087873975353, 80.20074405787454)","(37.09262859344996, 36.091974735634935, 36.78132788618113)","(0.5725162051260259, 0.967035800748089, 1.0276848062623356)","(-1.0574124110527263, -0.3163423695741141, -0.0875378966893523)","(96, 48, 48)",
0.8998,,"(148.69565879119727, 113.71108658972025, 126.17456542018772)","(9.520621497820636, 18.02583014303232, 17.003196717196953)","(3.013334379360407, 1.9397454858763294, 2.092467843202277)","(7.936924144704326, 2.4680176226209767, 3.204324574814054)","(145, 114, 130)",
0.6471,,"(213.57785129552212, 143.20194257845287, 145.38648867804295)","(14.312576806925541, 25.29088893628156, 23.20787964279274)","(2.2665725983820453, 1.0795110278939635, 1.3068731596162824)","(3.8853343059344008, -0.4678606746063605, 0.16025408029195676)","(205, 139, 132)",
0.766,,"(93.72500739098177, 61.245987000045716, 59.97101901198039)","(31.00801038855648, 30.433691726826485, 29.083810873511386)","(0.8264315061781518, 1.773229848207108, 2.066128940638964)","(-0.618502403581171, 2.477363411019094, 3.812063723755484)","(93, 41, 47)",
0.8422,,"(188.15843228861922, 153.38287024310557, 164.01362769998377)","(17.135247176244388, 23.564859279363013, 23.67914659951536)","(2.1486584324241518, 1.611315652111284, 1.5188334213605281)","(3.807445006273098, 1.416176728109913, 1.0699230501531707)","(177, 140, 157)",
0.8281,,"(120.37435683240983, 88.26831681499607, 90.46042147126172)","(10.868623805790422, 10.945331541066157, 11.578208274297111)","(3.340512676154277, 3.521584298874572, 3.444367224497151)","(11.194752625643519, 12.430148276058796, 11.564604524593861)","(116, 84, 88)",
0.7968,,"(137.25751949910773, 93.83082754112547, 86.1132519087987)","(25.87232682968136, 28.28466247210291, 25.26128222377895)","(1.119613028478101, 1.5747398767381542, 1.6848492986371177)","(-0.1893415484096157, 1.6707003948278158, 1.8749605070745536)","(135, 73, 62)",
0.8803,,"(131.68720937259786, 97.24817789556982, 103.20917520568764)","(31.82068492571488, 34.20318345894447, 36.64016753207188)","(1.283393234848133, 1.1135237300898206, 0.99449904974979)","(0.5873932619596243, -0.21370954825537636, -0.4181962783190878)","(129, 75, 83)",1
0.0545,,"(128.81674566371294, 125.21271651855568, 108.32334652823192)","(22.675374368715513, 25.15973439452719, 25.90296610193441)","(1.3100247171586887, 1.1242857581461607, 1.1171919442015852)","(0.2921830756931789, -0.23190938551548212, -0.2699132497292762)","(127, 117, 114)",
,,"(189.77708389542386, 127.692652156642, 116.76742749621917)","(24.58998924493048, 25.423510825058504, 26.004930956518855)","(1.5171944673238462, 1.6065987126297439, 1.3572696774900155)","(1.0939807267600923, 1.3478698175611177, 0.5582128161886901)","(176, 127, 112)",
0.863,,"(136.81903302826777, 83.52242610438225, 59.09494741170511)","(18.809002847608536, 24.472358836613857, 21.985123785160283)","(1.6354971727834813, 1.3664275701352553, 1.6000420700605609)","(1.2081318413914337, 0.3610507206877158, 1.019192743509536)","(117, 56, 43)",
0.6031,,"(201.08412910770858, 154.36471223662375, 147.44477794441627)","(20.96413986496805, 29.746509059146522, 30.138839110931904)","(1.3497031746747212, 0.8282161359491051, 0.8374562177201699)","(0.31823979308660943, -0.9418955129095887, -0.8892440497385841)","(199, 146, 140)",
0.6237,,"(162.6558693620027, 129.8800792224356, 130.4640532207559)","(10.724855356437965, 16.489608454910723, 18.664194221438393)","(2.8047761972464897, 2.059875270485565, 1.6804837475735406)","(6.964217640456152, 3.123463423602252, 1.4762942022231629)","(167, 132, 138)",
0.9288,,"(127.66233285329326, 78.88297885993597, 88.5483201907009)","(10.410214722425438, 17.24522057637395, 19.63149714807282)","(2.7350732712222108, 1.6185486359687309, 1.3197129252694708)","(6.677820237486953, 1.1056557304217662, 0.11170305609230047)","(131, 89, 101)",1
0.6944,,"(192.4756845808588, 153.1291797463782, 149.59878522530198)","(30.040957710131064, 43.188707737198214, 46.559797296883694)","(1.076389883974564, 0.8429854951460031, 0.813686445005279)","(0.10213060253595163, -0.31386599426107864, 0.030617906567421027)","(178, 128, 102)",
,,,,,,,
0.625,,"(217.7661980782068, 163.39907641920763, 156.1175662831829)","(19.30533656598034, 33.085479397272174, 40.41867645105499)","(1.9189691533681268, 1.6913320796682607, 1.1950883315804597)","(2.353017673739804, 1.7794744073034598, 0.24448082988683595)","(211, 156, 255)",
0.1127,,"(151.22799993111335, 126.8458108763657, 123.01659457955657)","(13.418702969293511, 10.34590896284975, 10.372756916139844)","(1.9757743835237676, 2.3922393014727255, 2.602373836601544)","(2.3846214527458205, 4.374310387215704, 5.776535511030369)","(145, 122, 116)",
0.7509,,"(170.81108878297482, 119.68536101792915, 116.78707402515192)","(16.94068365191487, 30.146719830918087, 33.43800639941915)","(2.75006381765064, 0.9914368097306246, 0.75049126277905)","(6.914846225932582, -0.606813234430648, -0.9874007097709616)","(170, 123, 120)",
0.801,,"(158.4846805366842, 120.94371969027907, 136.89726816738494)","(11.618153174851532, 20.93802154185679, 22.31504118536503)","(2.9772745401790455, 1.9955486662727835, 2.1101709431380247)","(7.978184377879563, 2.93099239657837, 3.406727900552852)","(161, 127, 143)",1
0.7546,,"(131.73359846373933, 111.43278892262606, 86.05883580532827)","(36.07263024395118, 38.726666428197525, 31.928437708847365)","(1.061443104018837, 0.5493975181490899, 1.0275738755147101)","(0.3115090668576106, -0.9348353142335082, -0.04038755717083964)","(159, 128, 96)",
0.7658,,"(152.47648910617318, 103.40936746247462, 80.69686125304725)","(5.925843426506145, 11.08364998541791, 11.0070275252389)","(3.5411240404487625, 2.5140981107067892, 2.897929674694996)","(11.655944545421956, 5.251482743046173, 7.787312362558383)","(153, 102, 79)",
0.7413,,"(138.14096766979492, 106.40335538136424, 99.0267728928302)","(12.023326372300641, 12.126620047046252, 12.555172924583522)","(2.2134059937066306, 2.3092869630082005, 2.3730313058604704)","(3.4741228453283792, 3.9968166798108546, 4.4359511706000925)","(138, 108, 102)",
0.6716,,"(175.05447284062393, 68.46833230762422, 60.55612993854811)","(21.91495280566844, 28.20826594633022, 24.97306300999801)","(2.1834998911913392, 2.548453827358771, 2.245925325302907)","(5.426696777030694, 6.474316338154914, 4.053906695626942)","(184, 47, 38)",
0.9252,,"(140.53375395147305, 97.65233142080251, 96.66354489397781)","(21.988161973687514, 18.187174271520387, 18.84067537323808)","(1.5448086078470644, 2.011670833517498, 1.942608908983124)","(1.30387303515296, 2.928842259370149, 2.7359696305134165)","(134, 88, 89)",
0.8755,,"(194.09125219742418, 103.17987006239127, 76.40737048716983)","(12.854341305214817, 18.682276015363446, 15.756760876273388)","(2.5194508343968542, 1.9694674665111158, 2.0003581080406483)","(5.2620253767550835, 2.7045427496628056, 2.6236374439776995)","(194, 103, 65)",
0.629,,"(155.35717006416007, 133.1531309557647, 122.29586173561415)","(5.2105176098764225, 7.468017606863453, 8.987321570866047)","(3.8505818955730517, 3.197374868253167, 2.7136124719191472)","(14.182961441264453, 9.51434812072607, 6.2362449155010875)","(158, 136, 126)",
0.8005,,"(138.04387764044804, 96.4119742741459, 93.39253822871251)","(20.657693349409392, 25.43365655564692, 26.395279802394736)","(1.5607709351839791, 1.3138961551539505, 1.1625637805942157)","(1.0894856571462999, 0.41535056351346666, -0.07383234309016817)","(140, 89, 83)",
0.4438,,"(221.1732188105816, 112.89196704141796, 142.75089657492936)","(27.825707719760324, 47.95757031356212, 45.922562482643556)","(13.117173250920965, 0.8131874573380401, 0.8752442766183754)","(192.91221706983103, -0.02494072998860819, 0.367290563503464)","(255, 134, 103)",
0.4178,,"(155.41624256224713, 142.95101561406136, 137.0179285477252)","(14.770064480320007, 17.36690819867106, 17.550765353283197)","(1.654525305985312, 1.5231938314279825, 1.4981994815557396)","(1.0196057282038096, 0.6406402719347528, 0.5479317677535933)","(157, 139, 129)",
0.6149,,"(147.16137399428408, 121.65714356541457, 106.73300069938932)","(25.964064000859445, 24.487130449031884, 25.396751853510573)","(0.8252120122649622, 1.079452852086466, 1.151505497292942)","(-1.087175964910851, -0.4494351952500346, -0.16620243331632567)","(123, 115, 90)",
0.6851,,"(136.36746874716573, 120.55312213894649, 135.19121827868275)","(10.661055467160617, 19.79029533768293, 19.261972189618714)","(2.7586457308324115, 1.2601083444768153, 1.3172070699318348)","(6.613788398532741, -0.199040534023319, -0.044456956672350056)","(140, 132, 128)",1
0.8015,,"(182.26332690177605, 113.91732116155617, 99.61515470625454)","(27.263162591059935, 35.59996111253359, 35.75634060751592)","(1.9445744010003259, 1.2877257315524393, 1.4367826524340992)","(2.8672198908214446, 0.3695608005045248, 0.7952917190505624)","(175, 115, 91)",
0.9252,,"(170.4267923026855, 94.24843552092352, 72.99423272793501)","(14.759254290886323, 18.823355542744853, 21.739920848181423)","(2.914634903131921, 2.340605325180962, 1.8633098874230944)","(8.134474445168678, 4.847885238688437, 2.5765740008576463)","(166, 87, 83)",
0.9065,,"(54.832773734968214, 43.548334859267925, 34.27359127058298)","(22.995558082218775, 14.622798587887528, 10.11518696057218)","(1.7131332004890243, 2.207748066538773, 3.0506794035062192)","(2.970783144608502, 4.05189736058805, 9.026078873902295)","(26, 28, 26)",
0.6223,,"(116.75768856311379, 109.85603836607424, 115.77964254693507)","(38.32062118987108, 47.311000415397686, 48.588933190858135)","(0.42539215638880723, -0.027848569035111494, 0.004639555246196959)","(-1.4011837879660798, -1.5415464182459009, -1.4535161288568823)","(142, 94, 110)",1
0.561,,"(149.50154174766794, 113.34798357854015, 112.95788800067385)","(26.095511956143653, 33.94693541595037, 35.3531135362291)","(1.4522056838792532, 1.7809801243940928, 1.6853033138239513)","(0.6237006066573909, 2.125850966785576, 1.652583258052168)","(133, 90, 86)",
0.8922,,"(185.9346906748542, 149.87140811249265, 155.84056072850944)","(36.18967332796942, 41.51952653493113, 42.9026961083573)","(0.3775418511545663, 0.05217945212453591, 0.009282882245839487)","(-1.4931087731961956, -1.5595813323039842, -1.5824064291772095)","(208, 159, 150)",1
,,,,,,,
0.2891,,"(146.0399636102552, 103.59625216761015, 99.58714326592144)","(36.441988289125035, 37.332600672328184, 35.533246266591505)","(1.6417515878431448, 0.9997384100641987, 1.0945292570861107)","(1.827842995569248, -0.37495898819857487, -0.10277810191402192)","(147, 97, 84)",1
0.847,,"(151.12704649523585, 124.83171477262931, 119.99553290394852)","(15.294338322997664, 18.001948981428164, 17.857054130290862)","(1.9428411102139782, 1.7211875933323106, 1.8979743335309738)","(2.3893808948261235, 1.5064115749712155, 2.2635919446487396)","(148, 121, 115)",
0.9212,,"(133.84007747056603, 77.91134491810953, 63.907910244204686)","(30.24614362845466, 32.42817999866222, 29.275368828569626)","(1.9246744526237267, 1.5964825858834792, 1.4728853486375086)","(2.9312788286836664, 1.754246843498498, 1.3458654134319863)","(149, 96, 81)",
0.7913,,"(199.14271056422513, 117.8404190886904, 101.3839441173568)","(6.885122703754139, 13.133315296950933, 11.149834714551496)","(3.8525071521044847, 2.4664931198737134, 2.768837547880149)","(14.058621026077965, 5.005690398117645, 6.404923955497729)","(198, 113, 94)",
0.8257,,"(161.64663030706288, 127.74438221733726, 121.61030030930851)","(10.609173491284206, 20.61589849363328, 18.931707671982956)","(2.64045953191907, 2.8748283145391005, 2.307015775355966)","(5.948581446342057, 7.5590873524503674, 4.285727978089543)","(160, 120, 112)",
0.7629,,"(179.53351920691784, 120.52064464104569, 110.1774669048782)","(7.241895715725226, 16.648814247209085, 14.591144052807214)","(4.006205250731488, 1.7925045543693117, 2.221183658401445)","(15.46369781398353, 1.7157166666626598, 3.646987463881479)","(177, 107, 99)",
0.8176,,"(163.78261519863736, 71.40261912465212, 75.89658094407059)","(8.24829620836271, 11.965235646208777, 15.246118971000989)","(3.598344647847075, 2.424484594159575, 1.9890291375011322)","(12.226388992332803, 4.496785415646542, 2.760228255889909)","(163, 80, 88)",
0.8707,,"(175.70704745269904, 84.406692543198, 81.99172030908085)","(21.316301390381714, 27.974550088880125, 27.91411058637536)","(2.022455741376785, 1.306167986873304, 1.2347595839868952)","(2.8736348131783185, 0.5433677307411733, 0.34005179712863987)","(183, 89, 89)",
0.6098,,"(181.7512999554856, 155.4814715594839, 150.71046058510183)","(23.488814655065923, 28.777342180676648, 31.124909149021715)","(1.3410808690898322, 1.0671424813335417, 0.9059077253206407)","(0.217759664168776, -0.3549131412806177, -0.6682372892414157)","(186, 172, 168)",
,,,,,,,
0.8584,,"(146.68901418330643, 103.29606528201202, 104.28411351670275)","(10.92489129179308, 17.311450210189058, 15.299168394353888)","(2.579178662003321, 1.6207791459502046, 1.9931670861786988)","(5.5496775048981135, 1.276075123486148, 2.5189534005989067)","(146, 110, 101)",
0.726,,"(127.61703317439515, 91.21578227554528, 75.65833416038913)","(13.994542061919605, 16.58566495769014, 17.661707162063333)","(3.0294140531411196, 2.99709959555562, 2.9573576866598343)","(9.152231429136153, 8.618635462853247, 8.39187161345618)","(119, 84, 67)",
0.0761,,"(137.85704906025785, 78.34810755417857, 66.55825532090967)","(30.301279704732927, 22.99392659127176, 19.997517273382904)","(0.8935272264626227, 1.2071149083462023, 1.3573630265496224)","(-0.44203376988639365, -0.06838211846827269, 0.2827698791094697)","(152, 80, 80)",
0.8497,,"(123.61775739084987, 101.06532024281114, 82.84231759195245)","(32.965959809940166, 29.73933418156468, 29.502847351891134)","(1.2687814137771465, 1.2808685544026595, 1.1332764618169975)","(0.585610136212876, 0.33855585498839913, -0.20612701853086168)","(114, 92, 82)",
0.7949,,"(172.48989275155782, 118.32940616904261, 115.49066744626134)","(8.039989155446042, 11.96334973840185, 9.91840747925108)","(2.793483315621181, 2.634017397900384, 2.865301675218299)","(6.343460764459902, 5.9219735388476895, 7.313374014455745)","(169, 118, 112)",
0.7549,,"(158.4255536996061, 112.27959756029304, 109.15685087419115)","(20.982446533845696, 28.907898013951495, 27.893742763630677)","(2.6076875221479305, 1.8575509534313168, 1.9550388374898744)","(5.9302905676281945, 2.3272887707319354, 2.7508025138111307)","(148, 96, 95)",
0.9147,,"(181.76041066394282, 106.39677195676359, 95.26178992720179)","(9.639267346798011, 20.803546941442725, 22.55468327957125)","(2.4259109094817757, 1.1521461827851918, 1.0701291150778667)","(4.249411051036488, -0.36070962684698893, -0.476405755072435)","(189, 108, 88)",
0.7311,,"(126.73943601676729, 98.84794210376276, 89.4576628100258)","(40.82707259050021, 44.06155809765916, 40.53171567314542)","(0.7090569428233816, 0.643017164134823, 0.9219288295254894)","(-0.7285662609745804, -0.4336348245490145, -0.3073341354738428)","(135, 74, 62)",1
0.7755,,"(193.70164628882776, 144.27863766733208, 145.53144509458798)","(26.248338043879542, 35.133828813500024, 37.48867500863439)","(1.0049504303906502, 0.4899013216429439, 0.3465075927330424)","(-0.36615156465574517, -1.263125650395438, -1.4125907076020925)","(200, 143, 144)",
0.8779,,"(148.1573653541418, 121.54665053247118, 125.24314663426776)","(13.409892928385032, 18.436578374588883, 23.00379762561774)","(2.8566742812001977, 1.8355804126609672, 1.5346296517302742)","(7.387734122946146, 2.2430417984366686, 1.1963340685714323)","(153, 133, 131)",1
0.2581,,"(116.18493196888448, 86.13090457340877, 75.01027895966399)","(7.702828040431843, 11.006757561705458, 10.450879256208985)","(3.26769989133418, 2.393125957294123, 2.6291525627853223)","(9.880641173936649, 4.5053306091541865, 5.8659862023524845)","(117, 84, 75)",
0.8683,,"(136.45121800853667, 110.4744949165397, 105.21874718422623)","(13.177958945715128, 20.41029942207389, 21.156465336296932)","(1.7919328825619618, 1.285354319381236, 1.2133969522564667)","(1.463243984011358, 0.24429338032468628, -0.010189372364896254)","(135, 115, 113)",
,,,,,,,
,,,,,,,
0.9572,,"(127.4650656699996, 113.53112779239291, 105.33211734540873)","(11.012312768667842, 13.453905802603654, 14.919052409378956)","(2.741474902588128, 2.204557260095197, 1.8095074320851134)","(6.771794690707912, 3.6718784679003225, 1.7064739558345803)","(129, 109, 109)",
0.8036,,"(197.19419192380155, 134.62777193149304, 113.64594352658196)","(19.41646272417914, 32.423263981337094, 35.01048708458954)","(1.865309637126111, 1.135185273429408, 1.367817264802649)","(1.9792889026321916, -0.27395485111376816, 0.48944386913819304)","(191, 109, 101)",
0.1098,,"(108.17530759595684, 70.9041507478396, 72.57135248574195)","(20.204016912863608, 11.55769602695529, 9.016728058156287)","(2.0125580116253845, 3.8031956267580065, 3.692113119073585)","(3.252253431656264, 15.47528109208606, 13.450969402972952)","(93, 64, 68)",
0.736,,"(161.30435988399586, 99.40834651783143, 101.85487677201218)","(34.557653795928545, 38.180991780257834, 40.59383466856465)","(1.9281000754937347, 0.8482508289299575, 1.0078841256035858)","(3.9319005409372743, -0.14063718371767564, 0.5923229120933429)","(186, 124, 131)",
0.7982,,"(205.24234670039732, 115.38710460468428, 108.53462170917192)","(9.587528078622912, 11.13270876296601, 8.57146870056634)","(2.6911480050932064, 2.517799420923799, 2.8485564459871315)","(6.141064157834252, 5.674837431069237, 6.908577153059781)","(209, 120, 113)",
0.7913,,"(141.22368249698525, 114.7222592336741, 113.12933305782167)","(18.09602351122632, 21.217899288906338, 20.163497205288156)","(1.540431977944969, 1.1537016613891806, 1.1858699274622606)","(1.0034210718129906, -0.389051641631156, -0.30889554978436173)","(162, 139, 135)",
0.7579,,"(184.62894308465184, 147.18628929078113, 140.4167572046572)","(9.188935124178471, 26.990305923972258, 23.990190689577506)","(3.5584469082465184, 1.2382517083751357, 1.216079826802388)","(13.071419171435078, 0.41743480232013663, 0.12254470457159528)","(179, 136, 137)",
0.9258,,"(230.22732408088268, 175.91970671051968, 144.8563319925961)","(21.939687854317683, 31.42540801054442, 36.78475322929208)","(5.025281978057527, 1.2711832871719186, 0.9873027608480623)","(40.79098099400944, 0.429768195273446, -0.15671227570158575)","(255, 176, 169)",
,,,,,,,
0.9332,,"(124.71696571852772, 93.52403778485632, 80.8276961284837)","(21.00583573643122, 22.80811230837708, 24.858526749664723)","(1.2031242807713924, 1.2476884453454622, 1.150733938124797)","(-0.28277702729221366, -0.026367102500316708, -0.25129645964633207)","(150, 77, 60)",
0.7048,,"(133.7194691495297, 103.0657186987246, 111.8636299985501)","(9.638113763536744, 14.766034752439193, 16.157911811604265)","(2.4419801230859552, 1.8907035078695082, 1.6784302374678428)","(4.361675830247438, 2.024722802033261, 1.1879675972279244)","(138, 113, 124)",
0.8198,,"(136.4434227318343, 60.0727967386556, 54.48730535395589)","(11.515447099416939, 21.342332030450905, 20.80396935608469)","(2.638646764905264, 1.463330061543556, 1.4641163778943447)","(6.08901996142597, 0.5232557244706175, 0.5828983858241346)","(130, 46, 40)",
0.8368,,"(177.14606499641127, 166.16155963477036, 157.26563714388976)","(15.291381195328649, 26.542268527706966, 31.016672432177895)","(1.737743851080229, 0.8467648308633946, 0.5635643108709505)","(1.4557427413781951, -0.8420990555377181, -1.2671329838195668)","(182, 171, 170)",
0.8885,,"(118.5021258740453, 104.63124441336186, 115.4251371096725)","(25.6653183236859, 28.337865128909865, 25.108180633379867)","(2.6574667736535336, 1.4504517181210939, 1.9725465386261174)","(6.9396323280719105, 1.1949183895125781, 2.825920356967714)","(127, 112, 111)",1
0.8073,,"(150.0054827548861, 101.10121101414143, 99.02563727392817)","(4.648122131545303, 9.921748366687341, 10.052358709039675)","(4.949676251322403, 2.6996557652500917, 2.5811858732713184)","(25.153557462435366, 6.191620421341664, 5.527888239292709)","(152, 104, 103)",
0.6792,,"(155.48523027938063, 106.12458273116135, 90.95179580945114)","(18.44567436791384, 18.782109428262686, 16.75624142674854)","(2.166882872081183, 2.233121660276166, 2.187645337669615)","(3.544993704653071, 3.920691660864118, 3.5573370817675647)","(147, 99, 90)",
0.7177,,"(131.2385608474019, 102.18033971374462, 101.5999842934425)","(8.40417244350593, 20.133976094644396, 18.199306947569813)","(3.4769989577949123, 1.4079381494327916, 1.5590545072651663)","(11.288076770060744, 0.3420864187223951, 0.7650754578487784)","(133, 119, 117)",
0.2765,,"(160.1641842004392, 125.13060062670411, 134.38751816569857)","(6.700764323891058, 9.068993625741482, 9.136636677086143)","(3.4594608594413363, 3.0442387986787898, 3.1110491057768552)","(10.940158567055828, 8.389636775961636, 8.91945390805056)","(162, 127, 139)",
0.8196,,"(204.09000789141282, 140.19281666024472, 152.117671017244)","(9.866247933831215, 16.327356132433636, 17.029476836764783)","(2.8124600025742774, 1.7312522739577103, 2.03077103096497)","(7.112588385621574, 1.7005457596989189, 3.418827978817027)","(206, 138, 171)",
0.808,,"(149.1215889273517, 123.23984668605772, 108.20717330009938)","(23.448892867967295, 24.35642445988679, 25.8325494003783)","(1.1769389265823327, 1.8732489924543647, 1.8042341335371184)","(0.04695790179425652, 3.1525783360593715, 2.6546264253215144)","(143, 112, 95)",
0.7074,,"(202.72916649398394, 158.3212707991479, 151.6683121699607)","(6.544977993395608, 8.728285530406872, 8.769881223281512)","(3.6040664402841434, 3.4774684283966293, 3.059219154261041)","(12.56260445557296, 12.35567451368897, 8.665485989630211)","(204, 155, 150)",
0.8978,,"(142.36217457340263, 107.56579542507279, 103.7056429885115)","(17.797879298260387, 22.77662337811867, 24.09893280500137)","(2.1019492244876234, 2.28266846002216, 2.3373206437546292)","(3.535198260876242, 5.534468745290029, 5.7487189490249015)","(135, 91, 85)",
,,,,,,,
0.5896,,"(165.4876842169524, 110.67585584259905, 114.07894291235243)","(24.422895078995282, 32.100312237338116, 32.467595387517186)","(1.7944678172444781, 1.235805770601528, 1.1835248368396882)","(1.8861628603220506, 0.3105506993372944, 0.03782469247216236)","(164, 104, 106)",1
0.3731,,"(141.97399891604437, 73.59022919424388, 52.9784892345524)","(36.34137979424928, 29.401066002540063, 23.77803192291432)","(0.2672901793632198, 0.8142339670128603, 1.406925684289105)","(-1.5524029698292607, -1.0019216333261691, 0.4374465483117391)","(162, 41, 32)",
0.6063,,"(176.1539373846681, 74.35780316617456, 70.84313095309335)","(24.882388084901635, 36.14119231269891, 33.196952068678705)","(1.067373102904516, 0.5379977678216615, 0.6864707775790881)","(-0.37603279983973614, -1.2241065815768406, -1.1054478788692248)","(185, 42, 39)",
0.8467,,"(128.75415417526528, 94.1288729345506, 99.29638954751317)","(13.35963370706015, 15.203358650171733, 18.384966105655526)","(2.2162385402627507, 2.0555478005213557, 1.6092683084571076)","(3.678988033062521, 2.82686364352059, 1.085452449998141)","(133, 92, 100)",
0.7842,,"(102.30603831529152, 77.97301009236253, 69.37694437979371)","(23.228510622826754, 22.40604457085774, 18.156398379722656)","(1.0730541614234184, 1.2543109679654618, 1.5613536701695585)","(-0.48156361637813294, 0.16349011710259775, 0.9541477923596142)","(110, 52, 51)",
0.8681,,"(173.58504609228658, 95.07146633670709, 99.62358021360524)","(13.534047580519115, 18.152219057407578, 20.136333224645014)","(2.2973842077525752, 2.1607496704797295, 1.9314457838158567)","(4.631432066337028, 4.246277314908132, 2.917138396218344)","(176, 80, 80)",
0.7885,,"(98.81926367840333, 79.44055984963961, 73.10689725467819)","(20.251185749372056, 20.374297827249286, 17.344876006811187)","(1.4255690978053541, 1.511901762895822, 1.8511270748517274)","(0.5686303333827731, 0.881658458121136, 2.048951068930629)","(94, 73, 71)",1
0.8731,,"(206.17997828474472, 141.01512473655748, 124.52299043502717)","(22.380090423327385, 31.10730536262981, 31.679041003964315)","(1.4889485674786873, 1.2295146609203969, 1.2349801268699878)","(0.8719830972600335, 0.14908703495760722, 0.24122900416530157)","(255, 119, 104)",
